מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
198,0,131,2015,840000,22923-7-60,דירה בבית,5,6412
199,0,131,2015,840000,22923-7-24,דירה,5,6412
200,הארבעה 23,79.2,2015,600000,22923-47-9,דירה בבית,4,7576
201,הארבעה 41,63.7,2015,390000,22923-49-27,דירה בבית,3,6122
202,הארבעה 19,63.6,2015,460000,22923-46-36,דירה בבית,3,7233
203,השישה 16,103.2,2015,600000,22918-9-3,דירה בבית,5,5814
204,הארבעה 35,126.1,2015,630000,22923-48-33,דירה בבית,4,4996
205,רמז 10,70,2015,552000,22872-143-10,דירה בבית,3,7886
206,הארבעה 35,127.5,2015,570000,22923-48-34,דירה בבית,6,4471
207,הארבעה 23,62.2,2015,370000,22923-47-7,דירה בבית,3,5949
208,הרצל 19,99.2,2015,585000,22918-17-18,דירה בבית,4,5897
209,שאול המלך 84,83.8,2015,589000,22918-16-15,דירה בבית,5,7029
210,0,134,2015,820000,22923-7-61,דירה בבית,5,6119
211,הארבעה 23,61.8,2015,450000,22923-47-4,דירה בבית,3,7282
212,הארבעה 25,136,2015,620000,22923-47-18,דירה בבית,6,4559
