מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
308,0,100,2020,440000,10262-50-2,דירה בבית,4,4400
310,0,109,2020,1200000,10265-57-6,דירה בבית,3,11009
311,0,108.65,2020,1300000,10265-57-8,דירה בבית,4,11965
312,0,120,2020,800000,10279-13-18,קוטג' חד משפחתי,4,6667
326,0,106,2020,400000,10286-26-4,דירה בבית,4,3774
329,0,115.1,2020,1275000,10265-55-4,דירה בבית,4,11077
331,0,80,2020,500000,10310-58-2,דירה בבית,3,6250
338,0,119.9,2020,1200000,10265-55-3,דירה בבית,4,10008
339,0,220,2020,1000000,10286-12-3,דירה בבית,5,4545
350,0,110,2020,230000,10285-18-1,דירה בבית,4,2091
