מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
357,העצמאות 73,58.2,2017,1220000,7218-65-5,דירה בבית,3,20962
358,יקותיאל אדם 2,42.8,2017,980000,6485-171-10,דירה בבית,2,22897
359,העצמאות 71,80.5,2017,1240000,7218-66-13,דירה בבית,4,15404
360,הרדוף 7,66,2017,1200000,6485-162-21,דירה בבית,3,18182
361,השלהבת 24,63.8,2017,1265000,6504-161-8,דירה בבית,3,19828
362,יקותיאל אדם 9,43,2017,1230000,6485-165-38,דירה בבית,3,28605
363,העצמאות 85,79,2017,1250000,7218-74-56,דירה בבית,4,15823
364,הורד 8,85.3,2017,1150000,6485-179-22,דירה בבית,4,13482
365,יקותיאל אדם 38,57.7,2017,1229000,7218-60-10,דירה בבית,3,21300
366,הורד 9,85.3,2017,1450000,6485-172-13,דירה בבית,4.5,16999
367,יקותיאל אדם 38,57.7,2017,1050000,7218-60-17,דירה בבית,3,18198
368,הרדוף 7,66,2017,1300000,6485-162-20,דירה בבית,3,19697
369,יוסף חיים 2,89,2017,1520000,6504-198-1,דירה בבית,4,17079
370,בן גוריון 9,90.7,2017,2430000,7239-31-39,דירה בבית,4,26792
371,יוסף חיים 6,89,2017,1470000,6504-165-9,דירה בבית,5,16517
372,הרדוף 3,66,2017,1420000,6485-163-8,דירה בבית,3,21515
373,העצמאות 46,90,2017,1270000,7218-7-12,דירה בבית,4,14111
374,סביון 21,89.4,2017,1355000,6501-113-15,דירה בבית,5,15157
375,הורד 12,85.3,2017,1320000,6485-179-6,דירה בבית,4,15475
376,העצמאות 48,90,2017,1199000,7218-10-3,דירה בבית,4,13322
377,אבנר 8,68,2017,1000000,6485-170-7,דירה בבית,3,14706
378,יקותיאל אדם 2,42.8,2017,995000,6485-171-18,דירה בבית,2,23248
379,יקותיאל אדם 2,42.8,2017,799000,6485-171-19,דירה בבית,2,18668
380,היסמין 1,57.7,2017,499000,7218-70-22,דירה בבית,3,8648
381,אבנר 8,68,2017,1030000,6485-170-10,דירה בבית,3,15147
382,העצמאות 79,57.7,2017,1100000,7218-63-8,דירה בבית,3,19064
383,העצמאות 89,79,2017,1350000,7218-74-2,דירה בבית,4,17089
384,איריס 5,85,2016,1000000,7218-38-2,דירה בבית,3,11765
385,הרותם 2,75,2016,1250000,7218-92-11,דירה בבית,3,16667
386,בן גוריון 7,90.27,2016,2130000,7239-31-2,דירה בבית,4,23596
387,העצמאות 81,57,2016,929000,7218-62-16,דירה בבית,3,16298
388,העצמאות 97,91.6,2016,980000,6501-114-7,דירה בבית,5,10699
389,הכלנית 2,92.4,2016,1354000,7218-29-14,דירה בבית,4,14654
390,יקותיאל אדם 41,87,2016,1480000,7218-108-4,דירה בבית,4,17011
391,הכלנית 2,92.4,2016,1190000,7218-29-35,דירה בבית,4,12879
392,הערמון 13,105.3,2016,300000,6485-205-11,דירה בבית,4,2849
393,השקמה 2,58,2016,780000,6485-168-7,דירה בבית,3,13448
394,יקותיאל אדם 38,57.7,2016,1130000,7218-60-22,דירה בבית,3,19584
395,החצב 18,77,2016,1090000,7218-75-24,דירה בבית,4,14156
396,יקותיאל אדם 52,69,2016,1270000,7218-74-5,דירה בבית,3,18406
397,הרדוף 7,66,2016,899000,6485-162-14,דירה בבית,3,13621
398,הרותם 1,66,2016,1240000,7218-90-17,דירה בבית,3,18788
