city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
גני תקווה,גנים,53,דרך הים 17,121.4,2019,2580000,6717-104-316,דירה בבית,4,21252
גני תקווה,גנים,54,דרך הים 11,135.8,2019,3180000,6717-104-106,דירה בבית,5,23417
גני תקווה,גנים,55,אילות 5,118.8,2019,2480000,6717-104-192,דירה בבית,4,20875
גני תקווה,גנים,56,דרך הים 13,112.7,2019,2430000,6717-104-129,דירה בבית,4,21562
גני תקווה,גנים,57,אילות 5,118.8,2019,2450000,6717-104-188,דירה בבית,4,20623
גני תקווה,גנים,58,דרך הים 11,137.5,2019,2900000,6717-104-103,דירה בבית,5,21091
גני תקווה,גנים,59,דרך הים 17,113.9,2019,2550000,6717-104-248,דירה בבית,4,22388
גני תקווה,גנים,60,דרך הים 19,141.9,2019,2769000,6717-104-478,דירה בבית,5,19514
גני תקווה,גנים,61,דרך הים 13,128.2,2019,2870000,6717-104-153,דירה בבית,5,22387
גני תקווה,גנים,62,אילות 5,118.9,2019,2545000,6717-104-194,דירה בבית,4,21405
גני תקווה,גנים,63,אילות 5,118,2019,2525000,6717-104-22,דירה בבית,4,21398
גני תקווה,גנים,64,דרך הים 19,145.8,2019,3025000,6717-104-410,דירה בבית,5,20748
גני תקווה,גנים,65,אילות 5,140.3,2019,3009000,6717-104-213,דירה בבית,5,21447
