מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
1,הגליל 8,74,2025,2130000,5232-3-15,דירה בבית,4,28784
2,סיני 27,100,2025,2750000,5207-112-2,דירה בבית,4,27500
3,התבור 12,90.7,2025,2000000,5232-21-36,דירה בבית,4,22051
4,הגולן 10,93.6,2025,2085000,5232-10-5,דירה בבית,4,22276
5,אביטל 6,83.85,2025,2100000,5216-8-18,דירה בבית,4,25045
6,מצדה 14,250,2025,5000000,5207-119-1,דירה בבית,7,20000
7,החרמון 7,86.4,2025,510000,5215-2-38,דירה בבית,4,5903
8,הגליל 16,74,2025,2380000,5232-5-7,דירה בבית,3,32162
9,הגליל 6,82,2025,2100000,5232-3-10,דירה בבית,4,25610
10,עליית הנוער 17,82.51,2025,2230000,5232-9-23,דירה בבית,3,27027
11,הגליל 11,83.6,2025,1950000,5232-13-5,דירה בבית,4,23325
12,עליית הנוער 7,86,2024,2025000,5232-5-20,דירה בבית,4,23547
13,אביטל 4,91.6,2024,2250000,5216-8-19,דירה בבית,4,24563
14,הרטוב 10,78.15,2024,1680000,5232-17-53,דירה בבית,3,21497
15,סיני 5,233.49,2024,4800000,5207-130-1,קוטג' דו משפחתי,7,20558
16,הגליל 13,89,2024,2150000,5232-14-28,דירה בבית,4,24157
17,החרמון 5,117.3,2024,2200000,5215-40-6,דירה בבית,5,18755
18,אביטל 4,73.4,2024,1900000,5216-8-20,דירה בבית,3,25886
19,יצחק רבין 14,117.5,2024,2250000,5232-13-58,דירה בבית,5,19149
20,עליית הנוער 11,82,2024,2040000,5232-4-29,דירה בבית,4,24878
21,הארבל 4,99.35,2024,3270000,5215-40-72,דירה בבית,4,32914
22,הגולן 7,80.4,2024,1845000,5216-6-9,דירה בבית,4,22948
23,רויטל 6,73.4,2024,1740000,5216-2-23,דירה בבית,3,23706
24,הגליל 9,99.6,2024,1820000,5232-13-24,דירה בבית,4,18273
25,הר המוריה 16,96.7,2024,2170000,5215-4-23,דירה בבית,4,22441
26,עליית הנוער 3,86,2024,1870000,5232-5-29,דירה בבית,4,21744
27,התבור 2,86.1,2024,2385000,5232-25-4,דירה בבית,4,27700
28,מצדה 16,200,2024,8984000,5207-111-1,דירת גן,6,44920
29,החרמון 7,74,2024,1661000,5215-2-26,דירה בבית,3,22446
30,עליית הנוער 9,142,2024,2415000,5232-3-34,דירה בבית,5,17007
31,הגליל 10,82,2024,700000,5232-4-14,דירה בבית,3,8537
32,הגליל 9,110.4,2024,3100000,5232-13-26,דירה בבית,5,28080
33,עליית הנוער 7,142,2024,2485000,5232-3-41,דירה בבית,6,17500
34,הגולן 7,82.3,2024,1875000,5216-6-10,דירה בבית,4,22783
35,החרמון 7,88.4,2024,2170000,5215-2-28,דירה בבית,4,24548
36,הגליל 8,74,2023,1925000,5232-3-29,דירה בבית,4,26014
37,הארבל 2,99.35,2023,2300000,5215-40-82,דירת גן,4,23150
38,הגליל 11,68.7,2023,1730000,5232-13-37,דירה בבית,3,25182
39,הגליל 15,85,2023,1740000,5232-14-24,דירה בבית,4,20471
40,הגליל 15,94,2023,1680000,5232-14-23,דירה בבית,4,17872
41,הר המוריה 1,121,2023,2260000,5215-5-6,דירה בבית,5,18678
42,הרטוב 10,88.4,2023,1800000,5232-17-46,דירה בבית,4.5,20362
43,עליית הנוער 5,86,2023,1680000,5232-5-30,דירה בבית,4,19535
44,מצדה 6,190.75,2023,3500000,5207-123-1,דירה בבית,8,18349
46,אורטל 6,91.6,2023,1740000,5216-6-24,דירה בבית,4,18996
47,עליית הנוער 6,93.51,2023,1830000,5232-9-9,דירה בבית,4,19570
48,החרמון 3,117.3,2023,1847000,5215-40-31,דירה בבית,5,15746
50,הארבל 2,105.2,2022,2100000,5215-40-86,דירה בבית,4,19962
51,הרטוב 2,77.45,2022,2070000,5232-17-64,דירה בבית,3.5,26727
