מספר סידורי,כתובת,שטח במר,תאריך העסקה,מחיר העסקה,גוש,סוג נכס,חדרים,מחיר למר
2,רמת הגולן 8,168,2025,3800000,5508-72-2,דירה בבית,6,22619
4,רשי 54,120,2024,2700000,5507-33-2,דירה בבית,5,22500
6,0,1579,2024,1075000,5507-57-0,קוטג' חד משפחתי,5,681
9,יהודה הלוי 145,56.18,2022,94000,4270-83-1,דירה בבית,2,1673
11,שילה 49,60,2022,200000,5508-12-1,דירה בבית,3,3333
12,אברהם עמרני 24,103.76,2022,2400000,5507-102-11,דירה בבית,4,23130
13,רשי 10,83.37,2022,800000,4274-170-2,דירה בבית,3,9596
15,רשי 139,264,2022,733000,5508-128-1,דירה בבית,8,2777
17,רשי 167,79.8,2022,2100000,4270-87-1,קוטג' דו משפחתי,3,26316
18,הסלע 1,124.3,2022,1950000,5507-105-3,דירה בבית,6,15688
19,ירושלים השלמה 9,128,2022,1965000,5507-55-1,דירה בבית,4,15352
23,רשי 33,161,2022,2630000,5507-47-1,קוטג' חד משפחתי,6,16335
24,רשי 57,168,2022,3200000,5507-65-2,דירה בבית,6,19048
25,רשי 64,110,2022,4200000,5507-30-2,קוטג' דו משפחתי,4,38182
26,אברהם עמרני 30,154.97,2021,3170000,5507-103-1,דירה בבית,6,20456
28,הבנים 19,22.1,2021,1550000,5508-47-1,דירה בבית,2,70136
34,יהודה הלוי 9,80,2021,1402000,4274-334-1,דירה בבית,3,17525
35,הסנהדרין 88,60.3,2021,1300000,4272-234-2,קוטג' חד משפחתי,3,21559
36,הסנהדרין 88,145.4,2021,2190000,4272-234-1,קוטג' חד משפחתי,5,15062
37,רשי 50,39,2021,778000,5507-34-2,דירה בבית,1,19949
39,הסנהדרין 53,246,2021,2900000,5507-21-2,קוטג' חד משפחתי,7,11789
42,הסנהדרין 35,53,2021,550000,5507-16-2,קוטג' דו משפחתי,3,10377
43,אברהם עמרני 16,118,2021,1383000,5507-101-10,דירת,4,11720
47,0,1314,2020,392000,5507-60-0,קוטג' חד משפחתי,1,298
48,אברהם עמרני 28,153.05,2020,2320000,5507-103-3,קוטג' דו משפחתי,6,15158
50,קוממיות 9,22.11,2020,2600000,5507-63-1,קוטג' דו משפחתי,2,117594
51,רמת הגולן 14,156,2020,2260000,5508-74-2,קוטג' חד משפחתי,7,14487
54,הסלע 1,146.6,2019,1500000,5507-105-20,דירה בבית,5,10232
55,הבנים 29,370,2019,400000,5508-50-2,דירה בבית,8,1081
57,רשי 165,55,2019,1699000,5508-94-1,קוטג' דו משפחתי,2,30891
58,הסלע 1,146.6,2019,1630000,5507-105-19,דירת,6,11119
59,סיני 23,22.1,2019,1820000,5508-34-1,קוטג' חד משפחתי,1,82353
61,רשי 80,38.5,2018,600000,5508-8-1,קוטג' דו משפחתי,3,15584
63,רשי 69,250,2018,2200000,5507-77-2,קוטג' חד משפחתי,5,8800
64,רשי 50,84,2018,848000,5507-34-1,דירה בבית,4,10095
66,אברהם עמרני 16,92,2018,1750000,5507-101-8,דירה בבית,4,19022
67,רשי 125,103,2017,1300000,5511-94-1,דירה בבית,3,12621
69,רשי 125,69,2017,1160000,5511-94-2,דירה בבית,3,16812
70,אברהם עמרני 27,1401,2017,1775000,5507-99-0,קוטג' חד משפחתי,6,1267
71,רשי 8,175,2017,2000000,4274-171-2,קוטג' דו משפחתי,7,11429
72,ששת הימים 3,84.4,2016,2280000,5507-67-2,קוטג' חד משפחתי,5,27014
74,הסנהדרין 35,71,2016,1700000,5507-16-1,דירה בבית,4,23944
75,ירושלים השלמה 11,130,2016,465000,5507-55-2,דירת גן,6,3577
76,שילה 38,77,2015,950000,5508-60-1,קוטג' דו משפחתי,3,12338
