city,neighborhood,transaction_id,address,area_sqm,transaction_date,transaction_price,block,property_type,rooms,price_per_sqm
באר שבע,נווה מנחם,636,הרצל גרינשפן 18,110,2020,1312000,38384-22-34,דירת גן,5,11927
באר שבע,נווה מנחם,638,שולמית 1,65,2020,815000,38387-8-84,דירה בבית,3,12538
באר שבע,נווה מנחם,639,שושנה שבבו 45,147,2020,2180000,38273-78-6,קוטג' דו משפחתי,7,14830
באר שבע,נווה מנחם,640,0,76,2020,1270000,100215-95-5,דירה בבית,4,16711
באר שבע,נווה מנחם,641,פילדרמן 5,112,2020,1350000,38176-17-2,קוטג' דו משפחתי,4,12054
באר שבע,נווה מנחם,642,קלצ'קין רפאל 31,64,2020,815000,38381-35-9,דירה בבית,3,12734
באר שבע,נווה מנחם,643,רחל אימנו 6,68,2020,970000,38377-20-19,דירה בבית,3,14265
באר שבע,נווה מנחם,644,0,99,2020,1340000,100215-95-6,דירה בבית,4,13535
באר שבע,נווה מנחם,645,אבשלום 56,102,2020,850000,38379-4-29,דירה בבית,5,8333
באר שבע,נווה מנחם,646,אהרונסון 18,89.4,2020,930000,38386-1-53,דירה בבית,4,10403
באר שבע,נווה מנחם,647,המלכים 58,91,2020,1250000,38178-82-31,דירה בבית,4,13736
באר שבע,נווה מנחם,648,אהרונסון 14,70.6,2020,838000,38386-1-32,דירה בבית,3,11870
באר שבע,נווה מנחם,650,אהרונסון 28,58.4,2020,870000,38385-1-102,דירת גן,3,14897
באר שבע,נווה מנחם,651,חנה רובינא 30,147,2020,1520000,38378-90-1,קוטג' דו משפחתי,5,10340
באר שבע,נווה מנחם,652,אהרונסון 50,69.35,2020,860000,38385-1-45,דירה בבית,3,12401
באר שבע,נווה מנחם,653,זמנהוף 1,98,2020,1385000,38175-30-3,דירה בבית,4,14133
באר שבע,נווה מנחם,654,שמואל רודנסקי 108,140,2020,1650000,38165-20-2,קוטג' דו משפחתי,5,11786
באר שבע,נווה מנחם,655,0,110,2020,1450000,100215-101-4,דירה בבית,5,13182
באר שבע,נווה מנחם,656,פרופ' שיבא 3,189,2020,1925000,38182-45-1,קוטג' חד משפחתי,5,10185
באר שבע,נווה מנחם,657,רפאל קלצ'קין 46,153,2020,1350000,38381-22-2,קוטג' חד משפחתי,5,8824
באר שבע,נווה מנחם,658,שושנה שבבו 45,148,2020,2180000,38273-78-7,קוטג' דו משפחתי,7,14730
באר שבע,נווה מנחם,659,שושנה שבבו 45,148,2020,2180000,38273-78-2,דירה,7,14730
באר שבע,נווה מנחם,660,הרצל גרינשפן 16,92,2020,928000,38384-22-15,דירה בבית,4,10087
באר שבע,נווה מנחם,661,אריה פייגנבאום 44,171,2020,1750000,38179-71-1,קוטג' דו משפחתי,6,10234
באר שבע,נווה מנחם,662,אביתר הכהן 19,179,2020,1570000,38172-23-1,קוטג' חד משפחתי,6,8771
באר שבע,נווה מנחם,663,ציפורה 19,158,2020,1700000,38170-21-1,דירה בבית,5,10759
באר שבע,נווה מנחם,664,אהרונסון 4,85,2020,1050000,38386-2-49,דירה בבית,4,12353
באר שבע,נווה מנחם,665,אהרון מסקין 61,86,2020,1120000,100621-15-42,דירה בבית,4,13023
באר שבע,נווה מנחם,666,חנה 12,150,2020,1415000,38170-57-1,קוטג' דו משפחתי,5,9433
באר שבע,נווה מנחם,667,שושנה שבבו 29,146,2020,2170000,38273-76-5,דירה בבית,7,14863
באר שבע,נווה מנחם,668,סמולנסקין 22,81,2020,1082000,38382-64-6,דירה בבית,4,13358
באר שבע,נווה מנחם,669,אהרון מסקין 41,100.4,2020,1330000,38376-14-7,דירת גן,4,13247
באר שבע,נווה מנחם,670,0,129,2020,1250000,100215-101-5,דירה בבית,5,9690
באר שבע,נווה מנחם,671,אבשלום 22,102,2020,900000,38173-63-5,דירה בבית,5,8824
באר שבע,נווה מנחם,672,המלכים 10,98,2020,1450000,38175-77-3,דירה בבית,5,14796
באר שבע,נווה מנחם,673,רפאל קלצ'קין 53,79,2020,1235000,38379-2-53,דירה בבית,4,15633
באר שבע,נווה מנחם,674,המלכים 24,115,2020,1450000,38178-82-14,דירה בבית,5,12609
באר שבע,נווה מנחם,675,זלפה 9,253,2020,1950000,38167-56-2,קוטג' חד משפחתי,5,7708
באר שבע,נווה מנחם,676,לאה 11,90,2020,1035000,38385-3-26,דירה בבית,4,11500
באר שבע,נווה מנחם,678,מרלא 12,250,2020,1670000,38383-45-3,דירה בבית,5,6680
באר שבע,נווה מנחם,679,אנדה עמיר 16,177,2020,1335000,38165-10-1,דירה בבית,6,7542
באר שבע,נווה מנחם,680,שושנה שבבו 59,147,2020,2200000,38273-79-5,קוטג' דו משפחתי,7,14966
באר שבע,נווה מנחם,681,לאה 39,99,2020,1040000,38384-33-24,דירה בבית,3,10505
באר שבע,נווה מנחם,682,רחל אימנו 56,77.8,2020,918000,100621-6-30,דירה בבית,4,11799
באר שבע,נווה מנחם,683,אגוז 12,98,2020,1440000,38175-28-20,דירה בבית,5,14694
באר שבע,נווה מנחם,686,דוד הראובני 9,98,2020,970000,38387-9-34,דירה בבית,4,9898
באר שבע,נווה מנחם,687,רחל אימנו 62,67,2020,770000,100621-6-12,דירה בבית,3,11493
באר שבע,נווה מנחם,689,אהרון מסקין 43,58.25,2020,770000,38376-14-18,דירה בבית,3,13219
באר שבע,נווה מנחם,691,רבקה 47,60,2020,1100000,38168-7-2,דירה בבית,3,18333
באר שבע,נווה מנחם,692,רפאל קלצ'קין 58,149,2020,1540000,38381-28-1,דירה בבית,5.5,10336
באר שבע,נווה מנחם,693,חנה רובינא 32,159,2020,1500000,38378-89-1,דירת גן,5,9434
באר שבע,נווה מנחם,694,אבשלום 22,73.1,2020,1210000,38173-63-2,דירה בבית,4,16553
באר שבע,נווה מנחם,695,0,133,2020,1420000,38382-64-0,דירת גן,5,10677
באר שבע,נווה מנחם,696,אבישג 12,139,2020,1520000,38168-43-1,דירה בבית,5,10935
באר שבע,נווה מנחם,697,אריה פייגנבאום 38,250,2020,1625000,38179-75-1,דירה בבית,5,6500
באר שבע,נווה מנחם,699,שושנה שבבו 27,143,2020,2130000,38273-75-5,קוטג' חד משפחתי,7,14895
באר שבע,נווה מנחם,700,אבשלום 32,102,2020,930000,38173-62-6,דירה בבית,4,9118
באר שבע,נווה מנחם,701,דר טיכו 38,187,2020,1720000,38179-51-1,קוטג' חד משפחתי,5,9198
באר שבע,נווה מנחם,702,לאה 31,65,2020,1055000,38385-2-54,דירה בבית,3,16231
באר שבע,נווה מנחם,703,אבשלום 36,73.3,2020,840000,38379-6-27,דירה בבית,3,11460
באר שבע,נווה מנחם,704,לאה 49,90.1,2020,1100000,38384-33-58,דירת גן,4,12209
באר שבע,נווה מנחם,705,יוכבד בת מרים 26,226,2020,2150000,38380-39-1,קוטג' דו משפחתי,6,9513
באר שבע,נווה מנחם,707,אביתר הכהן 26,123.8,2020,1470000,38172-44-8,דירת גן,5,11874
